0	[(5, 0.034604740988381996), (9, 0.16753933408367286), (12, 0.46227343995545844), (44, 0.32388947531763435)]
1	[(12, 0.68748934811826057), (20, 0.26081084892062945)]
2	[(12, 0.70019362782123273), (41, 0.25441647921578153)]
3	[(9, 0.099671791597968046), (12, 0.81994700999697867)]
4	[(8, 0.22115795864703164), (10, 0.10811095267648468), (12, 0.49462711447567353), (13, 0.023685113018466278), (14, 0.028727426320069766), (26, 0.076583141248188755), (40, 0.030138864116366845)]
5	[(10, 0.39326910911989305), (12, 0.47365240102476752), (46, 0.10121373724236726)]
6	[(26, 0.29044176714086567), (28, 0.10565292156606537), (47, 0.46427124915867474), (48, 0.10735066948572776)]
7	[(9, 0.93496859713666181), (34, 0.019588485913801929)]
8	[(23, 0.54627961506523792), (44, 0.15085148169269291), (49, 0.1482662587050704)]
9	[(8, 0.88114212972772976), (12, 0.050128446738417445), (25, 0.056464019320567778), (49, 0.010231719963505907)]
10	[(1, 0.064449016049866123), (8, 0.19975215114250019), (22, 0.36145669857736867), (39, 0.32535537291567723)]
11	[(12, 0.50114363667581385), (13, 0.049947462852328879), (45, 0.41065421501902721)]
12	[(1, 0.19339527931294914), (5, 0.41492874693755288), (11, 0.18496978520396076), (17, 0.14302561863190832)]
13	[(0, 0.099465357883331301), (40, 0.73024596119549334), (46, 0.1087701218137085)]
14	[(1, 0.061283180324407452), (8, 0.097368676006988494), (12, 0.069453974349684824), (19, 0.065683886869255304), (20, 0.034644347035741409), (35, 0.030039622686901593), (40, 0.054368388006863978), (43, 0.47106224258191398), (45, 0.040394032694830072), (47, 0.049563808125067679)]
15	[(0, 0.13582920668771173), (7, 0.083215304612171179), (10, 0.19890303644700588), (12, 0.25711499977255509), (27, 0.21571111680962846), (29, 0.051260017311938397)]
16	[(27, 0.16317325445729572), (35, 0.77389475417346354)]
17	[(4, 0.29992678793216798), (15, 0.11598697650626671), (16, 0.26425034837009254), (24, 0.073556078129711086), (40, 0.18693515488231019)]
18	[(21, 0.059589965757138638), (26, 0.19578207611928677), (37, 0.26054634501913049), (40, 0.42659691502555414)]
19	[(0, 0.62749253505166214), (9, 0.17783384583130696), (10, 0.16773647871158134), (25, 0.023254138748530172)]
20	[(1, 0.033234919997241451), (3, 0.012567062174421528), (7, 0.46329592729042457), (10, 0.012386546125258937), (15, 0.0131889250839288), (22, 0.1099160669475531), (30, 0.03852879682497657), (32, 0.090714461429800067), (38, 0.15243271814591922), (41, 0.014125896319678635), (43, 0.047330059908708158)]
21	[(0, 0.046618082054258186), (2, 0.31080489283489476), (9, 0.24182089864590184), (19, 0.12974852051086866), (34, 0.23294168808650872), (44, 0.018605932383190721), (48, 0.01632735035500759)]
